,nuovi_positivi,ricoverati_con_sintomi,terapia_intensiva,isolamento_domiciliare,dimessi_guariti,deceduti,tamponi,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-24T18:00:00,166.0,76.0,19.0,71.0,0.0,6.0,1463.0,2.0,-1.0,50.0,8.0,-2.0,-1.0
2020-02-25T18:00:00,68.0,79.0,25.0,127.0,0.0,9.0,3700.0,-1.0,2.0,13.0,2.0,0.0,-1.0
2020-02-26T18:00:00,18.0,79.0,25.0,145.0,0.0,9.0,3208.0,-3.0,-2.0,-14.0,1.0,0.0,0.0
2020-02-27T18:00:00,145.0,172.0,41.0,136.0,40.0,14.0,3320.0,2.0,1.0,32.0,4.0,1.0,0.0
2020-02-28T18:00:00,128.0,235.0,47.0,192.0,40.0,17.0,4835.0,2.0,1.0,19.0,4.0,1.0,-1.0
2020-02-29T17:00:00,84.0,256.0,80.0,216.0,40.0,23.0,5723.0,2.0,0.0,19.0,4.0,0.0,-1.0
2020-03-01T17:00:00,369.0,406.0,106.0,375.0,73.0,24.0,6879.0,1.0,1.0,20.0,3.0,0.0,0.0
2020-03-02T18:00:00,270.0,478.0,127.0,472.0,139.0,38.0,7925.0,-6.0,6.0,37.0,1.0,-1.0,0.0
2020-03-03T18:00:00,266.0,698.0,167.0,461.0,139.0,55.0,9577.0,-19.0,30.0,12.0,-13.0,-2.0,2.0
2020-03-04T17:00:00,300.0,877.0,209.0,411.0,250.0,73.0,12138.0,-14.0,-1.0,46.0,-34.0,-19.0,8.0
2020-03-05T17:00:00,431.0,1169.0,244.0,364.0,376.0,98.0,12354.0,-22.0,-6.0,-31.0,-42.0,-21.0,11.0
2020-03-06T17:00:00,361.0,1622.0,309.0,77.0,469.0,135.0,13556.0,-20.0,-2.0,1.0,-40.0,-22.0,11.0
2020-03-07T18:00:00,808.0,1661.0,359.0,722.0,524.0,154.0,15778.0,-25.0,-1.0,54.0,-31.0,-19.0,7.0
2020-03-08T18:00:00,769.0,2217.0,399.0,756.0,550.0,267.0,18534.0,-48.0,-1.0,16.0,-42.0,-19.0,8.0
2020-03-09T18:00:00,1280.0,2802.0,440.0,1248.0,646.0,333.0,20135.0,-42.0,-9.0,-35.0,-57.0,-31.0,16.0
2020-03-10T18:00:00,322.0,3319.0,466.0,642.0,896.0,468.0,21479.0,-50.0,-8.0,-25.0,-61.0,-38.0,20.0
2020-03-11T17:00:00,1489.0,3852.0,560.0,1351.0,900.0,617.0,25629.0,-57.0,-13.0,-23.0,-65.0,-43.0,22.0
2020-03-12T17:00:00,1445.0,4247.0,605.0,2044.0,1085.0,744.0,29534.0,-74.0,-26.0,-62.0,-74.0,-52.0,28.0
2020-03-13T17:00:00,1095.0,4435.0,650.0,2647.0,1198.0,890.0,32700.0,-78.0,-27.0,-57.0,-76.0,-58.0,31.0
2020-03-14T17:00:00,1865.0,4898.0,732.0,3429.0,1660.0,966.0,37138.0,-86.0,-46.0,-80.0,-80.0,-63.0,26.0
2020-03-15T17:00:00,1587.0,5500.0,767.0,3776.0,2011.0,1218.0,40369.0,-91.0,-58.0,-78.0,-83.0,-57.0,22.0
2020-03-16T17:00:00,1377.0,6171.0,823.0,3867.0,2368.0,1420.0,43565.0,-78.0,-35.0,-62.0,-79.0,-63.0,30.0
2020-03-17T17:00:00,1571.0,6953.0,879.0,4263.0,2485.0,1640.0,46449.0,-80.0,-39.0,-59.0,-80.0,-65.0,32.0
2020-03-18T17:00:00,1493.0,7285.0,924.0,4057.0,3488.0,1959.0,48983.0,-82.0,-42.0,-67.0,-81.0,-66.0,33.0
2020-03-19T17:00:00,2171.0,7387.0,1006.0,5545.0,3778.0,2168.0,52244.0,-82.0,-43.0,-72.0,-82.0,-67.0,34.0
2020-03-20T17:00:00,2380.0,7735.0,1050.0,6635.0,4295.0,2549.0,57174.0,-82.0,-40.0,-76.0,-82.0,-68.0,36.0
2020-03-21T17:00:00,3251.0,8258.0,1093.0,8019.0,5050.0,3095.0,66730.0,-88.0,-55.0,-84.0,-83.0,-67.0,27.0
2020-03-22T17:00:00,1691.0,9439.0,1142.0,7304.0,5865.0,3456.0,70598.0,-95.0,-80.0,-92.0,-89.0,-65.0,24.0
2020-03-23T17:00:00,1555.0,9266.0,1183.0,8461.0,6075.0,3776.0,73242.0,-84.0,-47.0,-82.0,-86.0,-74.0,35.0
2020-03-24T17:00:00,1942.0,9711.0,1194.0,8963.0,6657.0,4178.0,76695.0,-84.0,-48.0,-78.0,-85.0,-74.0,36.0
2020-03-25T17:00:00,1643.0,10026.0,1236.0,9329.0,7281.0,4474.0,81666.0,-86.0,-50.0,-82.0,-86.0,-75.0,37.0
2020-03-26T17:00:00,2543.0,10681.0,1263.0,10245.0,7839.0,4861.0,87713.0,-86.0,-51.0,-83.0,-86.0,-77.0,39.0
2020-03-27T17:00:00,2409.0,11137.0,1292.0,11466.0,8001.0,5402.0,95860.0,-86.0,-47.0,-82.0,-86.0,-77.0,40.0
2020-03-28T17:00:00,2117.0,11152.0,1319.0,12038.0,8962.0,5944.0,102503.0,-89.0,-59.0,-85.0,-85.0,-70.0,28.0
2020-03-29T17:00:00,1592.0,11613.0,1328.0,12451.0,9255.0,6360.0,107398.0,-95.0,-81.0,-91.0,-89.0,-65.0,24.0
2020-03-30T17:00:00,1154.0,11815.0,1330.0,11861.0,10337.0,6818.0,111057.0,-85.0,-48.0,-82.0,-85.0,-75.0,36.0
2020-03-31T17:00:00,1047.0,11883.0,1324.0,11917.0,10885.0,7199.0,114640.0,-92.0,-42.0,-78.0,-84.0,-76.0,37.0
2020-04-01T17:00:00,1565.0,11927.0,1342.0,12496.0,11415.0,7593.0,121449.0,-92.0,-40.0,-78.0,-84.0,-75.0,37.0
2020-04-02T17:00:00,1292.0,11762.0,1351.0,12763.0,12229.0,7960.0,128286.0,-92.0,-40.0,-78.0,-84.0,-75.0,38.0
2020-04-03T17:00:00,1455.0,11802.0,1381.0,13006.0,13020.0,8311.0,135051.0,-88.0,-39.0,-78.0,-84.0,-74.0,39.0
2020-04-04T17:00:00,1598.0,12002.0,1326.0,13892.0,13242.0,8656.0,141877.0,-91.0,-53.0,-84.0,-84.0,-68.0,28.0
2020-04-05T17:00:00,1337.0,12009.0,1317.0,14798.0,13426.0,8905.0,149984.0,-96.0,-77.0,-90.0,-88.0,-64.0,24.0
2020-04-06T17:00:00,1079.0,11914.0,1343.0,15212.0,13863.0,9202.0,154989.0,-86.0,-39.0,-77.0,-83.0,-71.0,34.0
2020-04-07T17:00:00,791.0,11833.0,1305.0,15205.0,14498.0,9484.0,159331.0,-85.0,-39.0,-75.0,-83.0,-72.0,35.0
2020-04-08T17:00:00,1089.0,11719.0,1257.0,15569.0,15147.0,9722.0,167557.0,-85.0,-37.0,-77.0,-83.0,-71.0,35.0
2020-04-09T17:00:00,1388.0,11796.0,1236.0,16042.0,15706.0,10022.0,176953.0,-84.0,-33.0,-77.0,-83.0,-71.0,35.0
2020-04-10T17:00:00,1246.0,11877.0,1202.0,16451.0,16280.0,10238.0,186325.0,-84.0,-29.0,-77.0,-82.0,-73.0,38.0
2020-04-11T17:00:00,1544.0,12026.0,1174.0,17058.0,16823.0,10511.0,196302.0,-89.0,-47.0,-83.0,-82.0,-67.0,27.0
2020-04-12T17:00:00,1460.0,11969.0,1176.0,18120.0,17166.0,10621.0,205832.0,-97.0,-95.0,-91.0,-90.0,-68.0,25.0
2020-04-13T17:00:00,1262.0,12028.0,1143.0,18764.0,17478.0,10901.0,211092.0,-96.0,-84.0,-85.0,-92.0,-92.0,43.0
2020-04-14T17:00:00,1012.0,12077.0,1122.0,19164.0,17821.0,11142.0,214870.0,-83.0,-40.0,-74.0,-82.0,-68.0,34.0
2020-04-15T17:00:00,827.0,12043.0,1074.0,19804.0,17855.0,11377.0,221968.0,-83.0,-38.0,-75.0,-82.0,-67.0,34.0
2020-04-16T17:00:00,941.0,11356.0,1032.0,20702.0,18396.0,11608.0,232674.0,-82.0,-38.0,-75.0,-82.0,-67.0,34.0
2020-04-17T17:00:00,1041.0,10627.0,971.0,21836.0,18850.0,11851.0,243513.0,-83.0,-36.0,-75.0,-82.0,-67.0,36.0
2020-04-18T17:00:00,1246.0,10042.0,947.0,23206.0,19136.0,12050.0,255331.0,-88.0,-55.0,-82.0,-81.0,-63.0,27.0
2020-04-19T17:00:00,855.0,10342.0,922.0,23233.0,19526.0,12213.0,264155.0,-95.0,-79.0,-89.0,-87.0,-60.0,23.0
2020-04-20T17:00:00,735.0,10138.0,901.0,23548.0,20008.0,12376.0,270486.0,-82.0,-52.0,-81.0,-83.0,-65.0,32.0
2020-04-21T17:00:00,960.0,9805.0,851.0,23322.0,21374.0,12579.0,277197.0,-82.0,-49.0,-75.0,-82.0,-65.0,33.0
2020-04-22T17:00:00,1161.0,9692.0,817.0,23733.0,22110.0,12740.0,290699.0,-82.0,-46.0,-72.0,-80.0,-63.0,32.0
2020-04-23T17:00:00,1073.0,9192.0,790.0,23891.0,23352.0,12940.0,302715.0,-81.0,-45.0,-73.0,-80.0,-64.0,33.0
2020-04-24T17:00:00,1091.0,8791.0,756.0,24821.0,23782.0,13106.0,314298.0,-81.0,-39.0,-73.0,-80.0,-64.0,34.0
2020-04-25T17:00:00,713.0,8489.0,724.0,25260.0,24227.0,13269.0,326940.0,-92.0,-69.0,-82.0,-84.0,-71.0,28.0
2020-04-26T17:00:00,920.0,8481.0,706.0,25979.0,24398.0,13325.0,337797.0,-94.0,-74.0,-86.0,-85.0,-57.0,23.0
2020-04-27T17:00:00,590.0,7525.0,680.0,27236.0,24589.0,13449.0,342850.0,-78.0,-42.0,-72.0,-79.0,-61.0,30.0
2020-04-28T17:00:00,869.0,7280.0,655.0,27809.0,25029.0,13575.0,351423.0,-80.0,-46.0,-71.0,-80.0,-62.0,30.0
2020-04-29T17:00:00,786.0,7120.0,634.0,28368.0,25333.0,13679.0,365895.0,-80.0,-42.0,-70.0,-79.0,-61.0,31.0
2020-04-30T17:00:00,598.0,6834.0,605.0,28772.0,25749.0,13772.0,376943.0,-77.0,-34.0,-75.0,-79.0,-61.0,31.0
2020-05-01T17:00:00,737.0,6628.0,563.0,29282.0,26136.0,13860.0,390644.0,-93.0,-83.0,-79.0,-89.0,-89.0,45.0
2020-05-02T17:00:00,533.0,6529.0,545.0,29593.0,26146.0,14189.0,403702.0,-83.0,-45.0,-76.0,-77.0,-58.0,25.0
2020-05-03T17:00:00,526.0,6609.0,532.0,29785.0,26371.0,14231.0,410857.0,-92.0,-66.0,-82.0,-82.0,-50.0,22.0
2020-05-04T17:00:00,577.0,6414.0,532.0,30361.0,26504.0,14294.0,418835.0,-64.0,-31.0,-20.0,-65.0,-49.0,21.0
2020-05-05T17:00:00,500.0,6201.0,509.0,30382.0,27124.0,14389.0,425290.0,-65.0,-31.0,-17.0,-66.0,-49.0,23.0
2020-05-06T17:00:00,764.0,6079.0,480.0,25194.0,33005.0,14611.0,439806.0,-66.0,-32.0,-24.0,-66.0,-48.0,23.0
2020-05-07T17:00:00,720.0,5848.0,480.0,25687.0,33329.0,14745.0,455294.0,-64.0,-31.0,-15.0,-65.0,-48.0,23.0
2020-05-08T17:00:00,634.0,5702.0,400.0,25881.0,33901.0,14839.0,466287.0,-65.0,-28.0,-20.0,-65.0,-48.0,24.0
